,urls
59,https://patentscope.wipo.int/search/en/detail.jsf?docId=SE409518252&_cid=P10-MIYK57-76954-1
60,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA105504648&_cid=P10-MIYK57-76954-1
61,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP107068264&_cid=P10-MIYK57-76954-1
62,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP177790042&_cid=P10-MIYK57-76954-1
63,https://patentscope.wipo.int/search/en/detail.jsf?docId=IN211651952&_cid=P10-MIYK57-76954-1
64,https://patentscope.wipo.int/search/en/detail.jsf?docId=IN211707272&_cid=P10-MIYK57-76954-1
65,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2017197167&_cid=P10-MIYK57-76954-1
66,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP14989304&_cid=P10-MIYK57-76954-1
67,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2015071443&_cid=P10-MIYK57-76954-1
68,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA174265760&_cid=P10-MIYK57-76954-1
69,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2020132546&_cid=P10-MIYK57-76954-1
70,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2018051198&_cid=P10-MIYK57-76954-1
71,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2025248216&_cid=P10-MIYK57-76954-1
72,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP315299741&_cid=P10-MIYK57-76954-1
73,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2021008736&_cid=P10-MIYK57-76954-1
74,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP389041578&_cid=P10-MIYK57-76954-1
75,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2018020347&_cid=P10-MIYK57-76954-1
76,https://patentscope.wipo.int/search/en/detail.jsf?docId=GB137470876&_cid=P10-MIYK57-76954-1
77,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2024010614&_cid=P10-MIYK57-76954-1
78,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP455657439&_cid=P10-MIYK57-76954-1
79,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP461049471&_cid=P10-MIYK57-76954-1
80,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP86157936&_cid=P10-MIYK57-76954-1
81,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA94272160&_cid=P10-MIYK57-76954-1
82,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA94735792&_cid=P10-MIYK57-76954-1
83,https://patentscope.wipo.int/search/en/detail.jsf?docId=IN211812672&_cid=P10-MIYK57-76954-1
84,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2014027116&_cid=P10-MIYK57-76954-1
85,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2012031357&_cid=P10-MIYK57-76954-1
86,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2022232618&_cid=P10-MIYK57-76954-1
87,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2022201061&_cid=P10-MIYK57-76954-1
88,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP421392507&_cid=P10-MIYK57-76954-1
89,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP358104746&_cid=P10-MIYK57-76954-1
90,https://patentscope.wipo.int/search/en/detail.jsf?docId=US35370571&_cid=P10-MIYK57-76954-1
91,https://patentscope.wipo.int/search/en/detail.jsf?docId=KR105666751&_cid=P10-MIYK57-76954-1
92,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP358103181&_cid=P10-MIYK57-76954-1
93,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2020251826&_cid=P10-MIYK57-76954-1
94,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP461049470&_cid=P10-MIYK57-76954-1
95,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA93632078&_cid=P10-MIYK57-76954-1
96,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP440661925&_cid=P10-MIYK57-76954-1
97,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP90440013&_cid=P10-MIYK57-76954-1
98,https://patentscope.wipo.int/search/en/detail.jsf?docId=US36358940&_cid=P10-MIYK57-76954-1
99,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA130955508&_cid=P10-MIYK57-76954-1
100,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP366851451&_cid=P10-MIYK57-76954-1
101,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP412600984&_cid=P10-MIYK57-76954-1
102,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2025175115&_cid=P10-MIYK57-76954-1
103,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2022137138&_cid=P10-MIYK57-76954-1
104,https://patentscope.wipo.int/search/en/detail.jsf?docId=IN211682157&_cid=P10-MIYK57-76954-1
105,https://patentscope.wipo.int/search/en/detail.jsf?docId=GB449229363&_cid=P10-MIYK57-76954-1
106,https://patentscope.wipo.int/search/en/detail.jsf?docId=IN211639676&_cid=P10-MIYK57-76954-1
107,https://patentscope.wipo.int/search/en/detail.jsf?docId=IN211698218&_cid=P10-MIYK57-76954-1
108,https://patentscope.wipo.int/search/en/detail.jsf?docId=IN211770840&_cid=P10-MIYK57-76954-1
109,https://patentscope.wipo.int/search/en/detail.jsf?docId=IN236856785&_cid=P10-MIYK57-76954-1
110,https://patentscope.wipo.int/search/en/detail.jsf?docId=NZ316819419&_cid=P10-MIYK57-76954-1
111,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP224635415&_cid=P10-MIYK57-76954-1
112,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2017062721&_cid=P10-MIYK57-76954-1
113,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2022243726&_cid=P10-MIYK57-76954-1
114,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP426474320&_cid=P10-MIYK57-76954-1
115,https://patentscope.wipo.int/search/en/detail.jsf?docId=GB219996183&_cid=P10-MIYK57-76954-1
116,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2024232951&_cid=P10-MIYK57-76954-1
117,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2009043081&_cid=P10-MIYK57-76954-1
118,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2024000353&_cid=P10-MIYK57-76954-1
119,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2013190581&_cid=P10-MIYK57-76954-1
120,https://patentscope.wipo.int/search/en/detail.jsf?docId=US36416154&_cid=P10-MIYK57-76954-1
