patent_id
EP1334727A2
EP1865049B1
EP2097413B1
EP2278989B1
EP2283006B1
EP2293668B1
EP2216372A1
EP2671449A1
EP2626361B1
EP3181563B1
EP3370518B1
EP3493676B1
EP3510867A1
EP3609906B1
EP3769624B1
EP4335861A1
EP4663019A1
EP0147102A2
EP0208403B1
EP0366457B1
EP0760679B1
EP0922059B1
